sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.3,2.415225915,0.003334635,2.817692553,3.401000581
0.35,2.214859497,0.00343559,2.906711668,3.643517504
0.4,2.629311037,0.003343758,0.912376091,2.200284392
0.05,2.573258218,0.003547062,0.857193629,235.6282922
0.1,2.749401948,0.003837059,1.594337596,21.58716421
0.15,2.28501406,0.003164416,1.688463004,11.78979994
0.2,2.750240755,0.003658934,0.837125543,7.545813682
0.25,2.613286571,0.003782558,1.014777333,20.35382059
0.3,2.500340258,0.003538161,0.925440268,5.153677868
0.35,2.320752608,0.003290257,0.503075988,5.757216526
0.4,2.023009426,0.002879029,0.48160604,6.303080493
0.05,3.099285455,0.003781397,1.393681049,20.28623144
0.1,2.582868147,0.00369231,0.859647246,25.9292687
0.15,2.40189468,0.003315512,0.865036083,25.32724935
0.2,2.356183979,0.003434999,1.070808391,10.93476196
0.25,2.620615077,0.003253928,0.589462343,20.91987262
0.3,2.882004487,0.002966975,1.291459587,4.179058271
0.35,1.975076668,0.003000958,1.112620374,3.901539386
0.4,2.64688048,0.003256336,0.493026816,7.682879829
0.05,2.694598831,0.003729036,2.382431184,38.29560042
0.1,2.509015685,0.003913026,0.530057858,45.20466276
0.15,2.637386167,0.003360749,2.477386985,5.535555436
0.2,2.271682198,0.003271245,0.984284447,9.73556715
0.25,2.581366221,0.003221266,0.756070898,12.11985511
0.3,2.519476663,0.002894247,0.769271706,2.980547422
0.35,2.673413952,0.003402602,1.102861395,4.344098458
0.4,2.184699167,0.003790114,1.754391986,4.387673272
0.05,2.649874415,0.003746848,0.766973254,42.82285763
0.1,2.400484148,0.003306942,1.263569931,13.52587414
0.15,2.640902747,0.003663595,0.863285876,14.19700518
0.2,2.836388323,0.004293474,4.224486679,6.544073975
0.25,3.185309432,0.004165896,9.259607714,4.020691334
0.3,2.498301956,0.003436709,15.05461387,5.799850195
0.35,2.400621991,0.003029326,0.980359397,5.223543735
0.4,2.826590219,0.003321108,1.58310369,3.7064673
0.05,2.679049604,0.003753747,1.903164041,16.25454161
0.1,2.547063577,0.003471923,0.776112155,23.0906788
0.15,2.76550432,0.00401153,1.874873885,9.182212185
0.2,2.783883658,0.003807257,1.596841751,13.33465546
0.25,2.814919818,0.004185697,2.061729957,5.254359213
0.3,2.193290796,0.003033809,1232.341736,3.116656929
0.35,2.400411576,0.002999447,0.489298403,4.252530788
0.4,3.033969408,0.004014253,0.489639464,3.010667119
0.05,2.668709972,0.003802839,0.90328197,25.51221053
0.1,2.813486964,0.003549062,1.055879645,11.74916559
0.15,2.699292731,0.003689375,2.136088924,11.67575948
0.2,2.405213901,0.003393207,0.625926574,17.47828781
0.25,2.085947172,0.002354999,1066.232191,2.358550809
0.3,2.588398516,0.0035156,0.879474728,11.35352094
0.35,2.961719828,0.00307916,2.688035323,2.730097969
0.4,2.406213018,0.003418755,0.587075657,7.094757401
0.05,2.375344311,0.003358796,0.750105031,25.85416671
0.1,2.581299528,0.003965682,0.59764749,34.38232565
0.15,3.008749514,0.004020378,2.560781989,9.73711662
0.2,2.194136522,0.002974515,1.119477737,3.838504765
0.25,2.689591714,0.003848321,0.965582592,7.324319301
0.3,2.508946569,0.003582319,3.297489186,4.585900311
0.35,2.516609124,0.002464855,0.821185858,2.574325873
0.4,2.284466128,0.002591252,0.670864915,3.818282139
0.05,2.570082953,0.003554514,0.889744883,27.98392326
0.1,2.777934244,0.003719703,2.464030002,9.243286759
0.15,2.69353956,0.003592185,0.946380676,12.1212972
0.2,2.918482842,0.003922638,1705.875512,8.62038547
0.25,2.734153538,0.003883105,1.869878829,7.751798158
0.3,2.547915072,0.00285772,3.958656357,6.251454079
0.35,2.789443126,0.003807747,0.834661488,5.562990148
0.4,2.55931585,0.0028443,1.124772731,5.698311603
0.05,2.349830167,0.003513106,3.93741131,25.45982332
0.1,2.790809672,0.003900377,1.019143229,42.60685428
0.15,2.36339751,0.003279558,14.81851618,11.5238765
0.2,2.577615289,0.003601993,139.3797222,8.862883588
0.25,2.523490973,0.003571723,1.224195778,6.099101167
0.3,2.672865789,0.00295579,1.572976641,4.33925217
